地區,地點,Lat,Lon,最後曾逗留日期,No,Case
沙田,帝逸酒店,22.38357205,114.208377,20-01-2020,1,2
沙田,天宇海1A座,22.4152729,114.223638,21-01-2020,1,2
沙田,銀湖天峰第一座,22.42598484,114.2430094,23-01-2020,2,4|5
屯門,倚嶺南庭,22.41224849,113.9834842,24-01-2020,2,3|8
葵青,長康邨康美樓,22.350375,114.099476,24-01-2020,1,12
東區,宇宙閣,22.289171,114.197276,25-01-2020,1,6
西貢區,將軍澳廣場第二座,22.309429,114.262623,26-01-2020,1,
油尖旺區,香港 W 酒店,22.30450258,114.160628,28-01-2020,3,9|10|11
中區,四季酒店,22.28529,114.159286,28-01-2020,3,9|10|11
油尖旺區,御金‧國峰第二座,22.309568,114.165557,30-01-2020,3,9|10|11
葵青區,葵涌邨綠葵樓,22.367824,114.128261,30-01-2020,1,14
九龍城區,黃埔花園第十一期一座,22.305942,114.190414,01-02-2020,2,13|15
油尖旺區,彌敦道58號美麗都大廈,22.297385,114.172459,01-02-2020,1,
